Id,SalePrice
1461,119571.13548743309
1462,155795.71902661127
1463,179251.40760192415
1464,198550.88967786124
1465,198458.79343045846
1466,167861.15515093383
1467,172542.48177732743
1468,166252.52721999827
1469,188835.0999615502
1470,122788.47423528835
1471,180189.95825072448
1472,98429.61703176331
1473,96291.03643016664
1474,148427.28034747957
1475,118560.03849983527
1476,373214.30626391503
1477,254604.51995391067
1478,315704.19418539596
1479,323272.4254428536
1480,485568.28030082054
1481,337440.6125742904
1482,225163.09217768977
1483,166316.8118038146
1484,172043.32940903888
1485,190513.18007938896
1486,190220.9446231086
1487,333825.69847807847
1488,235094.05171013525
1489,193049.28845717732
1490,220008.8337486275
1491,193788.86371215462
1492,88368.0984854901
1493,191912.83710007532
1494,274072.6894820678
1495,280666.7991329868
1496,232650.86872406057
1497,173141.6991427546
1498,173285.854812016
1499,165688.53885399335
1500,157056.99134286022
1501,170380.34308194421
1502,153911.22194213455
1503,276623.10285011947
1504,240432.13334202152
1505,220936.14889218909
1506,186090.94163689337
1507,235289.04725823767
1508,194004.78296031748
1509,170417.1379421257
1510,144714.1351943559
1511,143052.8633484429
1512,160932.54173044572
1513,147781.16894706426
1514,135793.40360538845
1515,207021.8952322452
1516,146797.48740096978
1517,156345.5059496112
1518,127410.70487077135
1519,205433.90621149377
1520,132290.85593571776
1521,134005.0443672751
1522,167954.6375220287
1523,115105.08891471429
1524,124195.329346863
1525,121337.65207658999
1526,112299.64756690798
1527,105350.7969706813
1528,129187.00344972171
1529,154080.97354146308
1530,184600.67031336774
1531,112577.94127107371
1532,92849.8139909293
1533,138385.14616010088
1534,122780.59085868584
1535,148863.75492767518
1536,110909.7687373643
1537,70890.60140068541
1538,138910.55558523594
1539,193579.6040480951
1540,87872.28906027522
1541,149031.1420523703
1542,142701.3642069975
1543,193630.36347137025
1544,77555.45168377616
1545,112391.43331290229
1546,141329.60681132338
1547,142301.65147031232
1548,135522.5241275283
1549,120861.96580847408
1550,137975.36687337025
1551,100724.22432126226
1552,136889.12613955553
1553,140358.76553080772
1554,117406.76879941515
1555,164102.9762107769
1556,91544.14378874499
1557,93012.76190024275
1558,98069.45850536114
1559,90664.48544465163
1560,132211.56370431927
1561,112629.1609706223
1562,133239.39071853444
1563,120622.01123209132
1564,155014.92136685885
1565,151121.64168778734
1566,241669.11857727097
1567,78601.86976596067
1568,223472.19100395247
1569,127484.61430245556
1570,144873.07439368567
1571,115635.23980367708
1572,136597.31649039418
1573,236411.5989925401
1574,115876.67654248406
1575,217246.03126178682
1576,241821.25015297177
1577,198761.53621816233
